name,price,rating,review_count,images,highlights,description,specification,features,sub_category,category
SEL14TC,"Rs. 49,9901",4.5,16.0,"['https://www.sony.co.in/image/9dbfb92275befb1c8b47b6fbf02533c7?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/77d47220c79d7e9e1e93f75c54cd4eed?fmt=png-alpha&wid=676&hei=400']",1.4x Teleconverter Lens,https://www.sony.co.in/electronics/camera-lenses/sel14tc/buy,{'Weight': '167 g'},"['Extends focal length of lens by 1.4x ', 'Increase focal length without degrading resolution ', 'A handy tool for minimising gear ', 'Compatible with a range of lenses ', 'Compact alternative to bulky additional lenses ']",E-mount,Lenses
SELP1650,"Rs. 22,2901",4.0,73.0,['https://www.sony.co.in/image/df16a7cf5aaf8ccf299bbaf6543f6ae3?fmt=png-alpha&wid=676&hei=400'],E PZ 16-50 mm F3.5-5.6 OSS,https://www.sony.co.in/electronics/camera-lenses/selp1650/buy,"{'Minimum focus distance': '0.25–0.3 m (0.82-1 ft)', 'Maximum Magnification ratio (x)': '0.215x', 'Filter Diameter (mm)': '40.5 mm', 'Weight': '116 g (4.1 oz)'}","['Exceptionally smooth powered zoom ', 'Less than 30 mm long when retracted ', 'Built-in OSS (Optical SteadyShot™) image stabilisation ', 'Aspherical lens elements and ED glass ', '35 mm equivalent focal length: 24-75 mm ']",E-mount,Lenses
SEL50F18,"Rs. 25,9901",5.0,29.0,[],E 50 mm F1.8 OSS,,"{'Minimum focus distance': '0.39 m (1.28 ft)', 'Maximum Magnification ratio (x)': '0.16x', 'Filter Diameter (mm)': '49 mm', 'Weight': '202 g (7.2 oz)'}","['50 mm fixed focal length, ideal for portraits ', 'F1.8 maximum aperture for low-light shots ', 'Stylish and light with a high quality finish ', 'Built-in Optical SteadyShot™ image stabilisation ', '7-blade circular aperture for beautiful defocus effects ']",E-mount,Lenses
SEL1635Z,"Rs. 89,9901",4.5,42.0,"['https://www.sony.co.in/image/e18ba6034d2e8cf52e09470d304a9708?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/23b249f0d220cd84317da24a836cee18?fmt=png-alpha&wid=676&hei=400']",Vario-Tessar® T* FE 16-35 mm F4 ZA OSS,https://www.sony.co.in/electronics/camera-lenses/sel1635z/buy,"{'Minimum focus distance': '0.28 m (0.92 ft)', 'Maximum Magnification ratio (x)': '0.19x', 'Filter Diameter (mm)': '72 mm', 'Weight': '518 g (18.3 oz)'}","['ZEISS® 35mm Full Frame wide-angle zoom lens ', 'Constant F4 maximum aperture throughout zoom range ', 'ZEISS® T* anti-reflective coating minimises flare ', 'Built-in OSS (Optical SteadyShot™) image stabilisation ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL70300G,"Rs. 103,9901",4.5,45.0,[],FE 70-300mm F4.5-5.6 G OSS,,"{'Minimum focus distance': '0.9 m (2.96 ft)', 'Maximum Magnification ratio (x)': '0.31 x', 'Filter Diameter (mm)': '72 mm', 'Weight': '854 g (30.2 oz)'}","['Renowned G Lens bokeh ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Built-in Optical SteadyShot™ image stabilisation ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL35F18,"Rs. 41,4901",4.5,16.0,[],E 35 mm F1.8 OSS,,"{'Minimum focus distance': '0.3 m (0.99 ft)', 'Maximum Magnification ratio (x)': '0.15x', 'Filter Diameter (mm)': '49 mm', 'Weight': '154 g (5.5 oz)'}","['Multi-purpose lens with fast F1.8 aperture ', 'Lightweight and compact at around 45 mm long ', 'Refined optical performance for crisp, clean results ', 'Built-in Optical SteadyShot™ image stabilisation ', 'Operation is smooth, silent and unobtrusive ']",E-mount,Lenses
SEL35F18F,"Rs. 59,9901",5.0,24.0,"['https://www.sony.co.in/image/8043f1140ea587950aa49cbbaf210178?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/33d5982c30c4a0d23a33547d6b2b75a1?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/c7050dd11a032dbc83b311429c8f2639?fmt=png-alpha&wid=676&hei=400', None, None, None]",FE 35 mm F1.8,https://www.sony.co.in/electronics/camera-lenses/sel35f18f/buy,"{'Minimum focus distance': '0.22 m (0.73 ft)', 'Maximum Magnification ratio (x)': '0.24', 'Filter Diameter (mm)': '55', 'Weight': '280 g (9.9 oz)'}","['Standard prime lens with fast F1.8 aperture ', 'Quiet, reliable AF tracking for movies as well as stills ', '9-blade circular aperture for smooth bokeh ', 'An aspherical element for high corner-to-corner resolution ', 'Dust and moisture-resistant design2 ']",E-mount,Lenses
SEL200600G,"Rs. 177,9901",5.0,194.0,"['https://www.sony.co.in/image/aa4c806667bb613cd7fbc9fa6ed7c6a3?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/bba71ef638738e9911d036c4e2a01672?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/93adc47db21c35db9338743ac9a96f35?fmt=png-alpha&wid=676&hei=400', None, None]",Sony FE 200–600 mm F5.6–6.3 G OSS,https://www.sony.co.in/electronics/camera-lenses/sel200600g/buy,"{'Minimum focus distance': '2.4 m (7.88 ft)', 'Maximum Magnification ratio (x)': '0.2', 'Filter Diameter (mm)': '95', 'Weight': '2,115 g (74.7 oz)'}","['Super telephoto zoom G lens ', 'Direct Drive SSM for quiet, highly precise focus lens control ', 'Advanced optical design incorporating an aspherical element and five ED glasses for entire zoom range ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Dust- and moisture4-resistant design ']",E-mount,Lenses
SEL600F40GM,"Rs. 1,377,9901",5.0,7.0,"['https://www.sony.co.in/image/2213c3c52aefcf6fedbd8bd7dc26c337?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/485ccb5bcd464576ecf5c79effb41641?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/1a0cfe881f7179114c443a9d2fd6e93e?fmt=png-alpha&wid=676&hei=400', None, None]",Sony FE 600-mm F4 GM OSS,https://www.sony.co.in/electronics/camera-lenses/sel600f40gm/buy,"{'Minimum focus distance': '4.5 m (14.8 ft)', 'Maximum Magnification ratio (x)': '0.14', 'Filter Diameter (mm)': '40.5', 'Weight': '3,040 g (107.3 oz)'}","['Premium G Master series large-aperture super telephoto lens ', 'Newly developed XD Linear Motor for extremely fast, precise, quiet AF ', 'Three fluorite lenses for outstanding resolution ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Full-time DMF and other features support professional shooting needs ']",E-mount,Lenses
SELP28135G,"Rs. 217,9901",5.0,12.0,"['https://www.sony.co.in/image/d78a61fc09c080714307d86450294d35?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/b55123d8778e9f0f1f7d8c4c0d4c6bbe?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/86a20378683e395a93b0df4c91a370c1?fmt=png-alpha&wid=676&hei=400']",FE PZ 28–135 mm F4 G OSS,https://www.sony.co.in/electronics/camera-lenses/selp28135g/buy,"{'Minimum focus distance': '0.4 (Wide)–0.95 m (Tele) (AF/MF)/0.95 m (Full MF) (1.31 [Wide]–3.12 ft (Tele) (AF/MF)/3.12 ft [Full MF])', 'Maximum Magnification ratio (x)': '0.15x', 'Filter Diameter (mm)': '95 mm', 'Weight': '1,215 g (42.9 oz) (Without tripod mount)'}","['High performance G Series standard zoom lens ', 'Constant F4 maximum aperture throughout zoom range ', 'Built for high quality moviemaking ', 'Powered zoom ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL70350G,"Rs. 80,9901",4.5,83.0,[],E 70–350 mm F4.5–6.3 G OSS,,"{'Minimum focus distance': '1.1–1.5 m (3.61–4.93)', 'Maximum Magnification ratio (x)': '0.23', 'Filter Diameter (mm)': '67', 'Weight': '625 g (22.1)'}","['Super-telephoto G Lens with 5x magnification range ', 'XD Linear Motor offering excellent response and low vibration for fast, precise, quiet AF ', 'One aspherical element and three ED glasses for high resolution throughout the zoom range ', 'Optical SteadyShot™ keeps hand-held shots blur-free ', 'Dust and moisture-resistant design2 ']",E-mount,Lenses
SEL20TC,"Rs. 49,9901",5.0,15.0,"['https://www.sony.co.in/image/1f3edfcd36c40e9ee13dd9f83689e5a7?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/8ddb3298a0a048c168750f45feefdbcb?fmt=png-alpha&wid=676&hei=400']",2x Teleconverter Lens,https://www.sony.co.in/electronics/camera-lenses/sel20tc/buy,{'Weight': '207 g'},"['Extends focal length of lens by 2.0x ', 'Increase focal length without degrading resolution ', 'A handy tool for minimising gear ', 'Compatible with a range of lenses ', 'Compact alternative to bulky additional lenses ']",E-mount,Lenses
SELP18105G,"Rs. 47,4901",4.5,74.0,"['https://www.sony.co.in/image/69ee379031435ccb33765326845d824c?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/ee26653b9a03e758d741f426c16e31c4?fmt=png-alpha&wid=676&hei=400']",E PZ 18-105 mm F4 G OSS,https://www.sony.co.in/electronics/camera-lenses/selp18105g/buy,"{'Minimum focus distance': '0.45 (Wide)–0.95 m (Tele) (1.48 [Wide]–3.12 ft [Tele])', 'Maximum Magnification ratio (x)': '0.11x', 'Filter Diameter (mm)': '72 mm', 'Weight': '427 g (15.1 oz)'}","['G Lens standard zoom ', 'Approx. 6x powered zoom ', 'Constant F4 maximum aperture ', '7-blade circular aperture ', 'ED glass elements effectively reduce chromatic aberration ']",E-mount,Lenses
SEL24F18Z,"Rs. 98,4901",5.0,7.0,"['https://www.sony.co.in/image/516d49a2c984f9160184c7e6c18e5db4?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/c169dd668a993698793f634e05b1f38a?fmt=png-alpha&wid=676&hei=400']",Sonnar T* E 24 mm F1.8 ZA,https://www.sony.co.in/electronics/camera-lenses/sel24f18z/buy,"{'Minimum focus distance': '0.16 m (0.52 ft)', 'Maximum Magnification ratio (x)': '0.25x', 'Filter Diameter (mm)': '49 mm', 'Weight': '225 g (8 oz)'}","['Zeiss® bright Sonnar wide-angle prime ', 'ZEISS® T* anti-reflective coating minimises flare ', 'Wide angle (24 mm focal length) for landscapes and more ', 'Large F1.8 maximum aperture allows beautiful defocusing ', '16 cm minimum focus distance enables 1:4 macro shots ']",E-mount,Lenses
SEL55F18Z,"Rs. 68,9901",5.0,114.0,"['https://www.sony.co.in/image/863459f927ed7fc5db3d314b79873b94?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/b587a382cbf5e27c147f362d01eda116?fmt=png-alpha&wid=676&hei=400']",Sonnar T* FE 55 mm F1.8 ZA,https://www.sony.co.in/electronics/camera-lenses/sel55f18z/buy,"{'Minimum focus distance': '0.5m (1.64ft)', 'Maximum Magnification ratio (x)': '0.14x', 'Filter Diameter (mm)': '49 mm', 'Weight': '281 g (10 oz)'}","['Zeiss 35 mm Full-Frame normal prime lens ', 'Bright F1.8 maximum aperture ', 'ZEISS® T* anti-reflective coating minimises flare ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL2450G,"Rs. 116,9901",4.5,2.0,"['https://www.sony.co.in/image/713a63b3d4b91c40388207b2cc2eda0b?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/63d0d9dfe4431ce3ba5e109a52231c15?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/036b424c944cec4b121e4446a9ee7995?fmt=png-alpha&wid=676&hei=400', None, None, None, None, None]",FE 24–50mm F2.8 G,https://www.sony.co.in/electronics/camera-lenses/sel2450g/buy,"{'Minimum focus distance': '0.19(W)-0.30(T) (AF), 0.18(W)-0.29(T) (MF) m (0.63(W)-0.99(T) (AF), 0.59(W)-0.96(T) (MF) ft)', 'Maximum Magnification ratio (x)': '0.30 (AF), 0.33 (MF)', 'Filter Diameter (mm)': '67', 'Weight': '440 g (15.6 oz)'}","['A high-performance 24–50 mm standard zoom G Lens that is compact and lightweight ', '4 aspherical elements and 2 ED glass elements in an advanced design deliver stunning resolution ', 'Stunning close-ups with smooth bokeh enhanced by an F2.8 aperture and 11 aperture blades ', 'Refined AF control for outstanding speed, reliable tracking, and quiet operation ', 'Full creative control with independent focus, zoom, and aperture rings ']",E-mount,Lenses
SEL16F28,"Rs. 10,9901",3.5,5.0,['https://www.sony.co.in/image/d0d5b55c6755ddb4d6d219426db5ea08?fmt=png-alpha&wid=676&hei=400'],E 16 mm F2.8,https://www.sony.co.in/electronics/camera-lenses/sel16f28/buy,"{'Minimum focus distance': '0.24 m (0.8 ft)', 'Maximum Magnification ratio (x)': '0.078x', 'Filter Diameter (mm)': '49 mm', 'Weight': '67 g (2.4 oz)'}","['Ultra-slim (22.5 mm) and lightweight design ', 'High quality aluminium finish ', 'High performance optics with aspherical lens elements ', 'Ideal for shooting stills or movies ', '35 mm equivalent focal length: 24 mm ']",E-mount,Lenses
SELP18110G,"Rs. 286,9901",4.5,3.0,"['https://www.sony.co.in/image/e015334abcda785202e0e7977b4c4c75?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/bdb28789657d6a0352c0fc8826ef7fb1?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/e4566d67ef73b0396f4bfc64cecf003e?fmt=png-alpha&wid=676&hei=400']",E PZ 18–110 mm F4 G OSS,https://www.sony.co.in/electronics/camera-lenses/selp18110g/buy,"{'Minimum focus distance': '0.4 (W)–0.95 (T) m (AF/MF); 0.95 m (Full MF) (1.31 (W)–3.12 (T) ft (AF/MF); 3.12 ft (Full MF))', 'Maximum Magnification ratio (x)': '0.122', 'Filter Diameter (mm)': '95', 'Weight': '1,105 g (39 oz) (Without tripod mount)'}","['High-performance G series standard zoom lens ', 'Powered zoom ', 'Constant F4 maximum aperture throughout zoom range ', 'Built for high-quality 4K moviemaking ', 'Dust and moisture-resistant design3 ']",E-mount,Lenses
SEL35F14Z,"Rs. 117,9901",5.0,11.0,"['https://www.sony.co.in/image/d7dd10240e9386b810292e56106b98e9?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/51d3c6ca079dedeb4cb915c6462b861d?fmt=png-alpha&wid=676&hei=400']",Distagon® T* FE 35 mm F1.4 ZA,https://www.sony.co.in/electronics/camera-lenses/sel35f14z/buy,"{'Minimum focus distance': '0.3 m (0.98 ft)', 'Maximum Magnification ratio (x)': '0.18x', 'Filter Diameter (mm)': '72 mm', 'Weight': '630 g (22.3 oz)'}","['Zeiss® 35 mm Full-Frame wide-angle prime lens ', 'ZEISS® T* anti-reflective coating minimises flare ', 'Direct Drive SSM for quiet, highly precise focus lens control ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL1635GM,"Rs. 192,9901",5.0,34.0,"['https://www.sony.co.in/image/3afe3bfc05dd77ae4005f46992c27fff?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/83aaec9474f17460a0827321bfa9e674?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/dae7be0ec4b28b26b889e4e82de6758f?fmt=png-alpha&wid=676&hei=400']",FE 16-35mm F2.8 GM,https://www.sony.co.in/electronics/camera-lenses/sel1635gm/buy,"{'Minimum focus distance': '0.28 m (0.92 ft)', 'Maximum Magnification ratio (x)': '0.19', 'Filter Diameter (mm)': '82', 'Weight': '680 g (24 oz)'}","['Premium G Master Series wide-angle zoom lens and smooth bokeh ', 'Two XA (extreme aspherical) elements for outstanding resolution ', 'Circular 11-blade aperture for beautiful defocus effects ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Dust and moisture-resistant design2 ']",E-mount,Lenses
SEL400F28GM,"Rs. 1,113,4901",5.0,9.0,[],FE 400 mm F2.8 GM OSS,,"{'Minimum focus distance': '2.7 m (8.86 ft)', 'Maximum Magnification ratio (x)': '0.16', 'Filter Diameter (mm)': '40.5 (slot-in)', 'Weight': '2895 g (102.2 oz.)'}","['Premium G Master series large-aperture super telephoto lens ', 'Newly developed XD Linear Motor for extremely fast, precise, quiet AF ', 'Three fluorite lenses for outstanding resolution ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Full-time DMF and other features support professional shooting needs ']",E-mount,Lenses
SEL28F20,"Rs. 34,9901",4.5,24.0,"['https://www.sony.co.in/image/4cbc547aa9452ecb0f87cac0c087ac67?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/ac6763015d600615dd49d472f0aa0960?fmt=png-alpha&wid=676&hei=400']",FE 28 mm F2,https://www.sony.co.in/electronics/camera-lenses/sel28f20-series/buy,"{'Minimum focus distance': '0.29 m (AF) / 0.25 m (MF) (0.96 ft [AF] / 0.82 ft [MF])', 'Maximum Magnification ratio (x)': '0.13x (Af)/0.16x (MF)', 'Filter Diameter (mm)': '49 mm', 'Weight': '200 g (7.1 oz)'}","['Wide-angle (28 mm) for landscape or more ', 'Fast F2.0 maximum aperture ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design ', 'Linear motor for silent movie recording ']",E-mount,Lenses
SEL135F18GM,"Rs. 185,9901",5.0,24.0,[],FE 135mm F1.8 GM,,"{'Minimum focus distance': '0.7 m (2.3 ft)', 'Maximum Magnification ratio (x)': '0.25', 'Filter Diameter (mm)': '82', 'Weight': '950 g (33.6 oz)'}","['Premium G Master Series Telephoto prime lens ', 'XD Linear Motor offering excellent response and low vibration for fast, precise, quiet AF ', 'XA elements and Super ED glass for high resolution throughout the image area ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Focus range limiter switch and other features support professional shooting needs ']",E-mount,Lenses
SEL50M28,"Rs. 42,9901",4.5,5.0,[],FE 50 mm F2.8 Macro,,"{'Minimum focus distance': '0.16 m (0.53 ft)', 'Maximum Magnification ratio (x)': '1', 'Filter Diameter (mm)': '55', 'Weight': '236 g (8.4 oz)'}","['50 mm standard 1:1 macro lens ', 'Compact, lightweight design ', 'Circular 7-blade aperture for beautiful defocus effects ', '0.16 m minimum focus distance ', 'Dust- and moisture- resistant design 2 ']",E-mount,Lenses
SEL24F14GM,"Rs. 137,9901",5.0,31.0,"['https://www.sony.co.in/image/80788f057cb7f8e5c52d5db0f4d65d5f?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/ac6c9d31a35e5d6449c58545bdfa2941?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/e05b344aeb5f5fe8193fa10a03652fc8?fmt=png-alpha&wid=676&hei=400', None]",FE 24mm F1.4 GM,https://www.sony.co.in/electronics/camera-lenses/sel24f14gm/buy,"{'Minimum focus distance': '0.24 m (0.79 ft)', 'Maximum Magnification ratio (x)': '0.17', 'Filter Diameter (mm)': '67', 'Weight': '445 g (15.7 oz)'}","['Premium G Master Series Wide-range prime lens ', 'DDSSM (Direct Drive SSM) for quiet, highly precise focus lens control ', 'Circular 11-blade aperture for beautiful defocus effects ', ""Two XA (extreme aspherical) elements in an optical design contribute to G Master's high resolution "", 'Dust and moisture-resistant design3 ']",E-mount,Lenses
SEL1655G,"Rs. 108,9901",5.0,13.0,[],E 16–55 mm F2.8 G,,"{'Minimum focus distance': '0.33 m (1.09)', 'Maximum Magnification ratio (x)': '0.2', 'Filter Diameter (mm)': '67', 'Weight': '494 g (17.5)'}","['Compact, high resolution F2.8 APS-C standard zoom G lens ', 'XD Linear Motor offering excellent response and low vibration for fast, precise, quiet AF ', 'Two AA lens, two aspherical elements, and three ED glasses for high resolution throughout the zoom range ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Dust and moisture-resistant design3 ']",E-mount,Lenses
SEL2870GM,,,,[],FE 28-70mm F2 GM,,"{'Minimum focus distance': '1.25 ft (0.38 m)', 'Maximum Magnification ratio (x)': '0.23', 'Filter Diameter (mm)': '86', 'Weight': '918 g (32.4 oz.)'}","['Advanced optics with three XA (extreme aspherical) elements achieve superb resolution and bokeh ', 'F2 throughout the zoom range in a remarkably compact, lightweight 918 g (32.4 oz) lens ', 'Four XD (extreme dynamic) linear motors and advanced control deliver high-performance AF ', 'New movie expression with narrow F2 depth-of-field, reliable AF tracking, and minimal breathing ', 'Pro-grade operability and reliability ']",E-mount,Lenses
SEL85F14GM,"Rs. 129,4901",5.0,28.0,"['https://www.sony.co.in/image/a87ba89b572ad0476a7ffafae91c3b7a?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/6a0d87076f17cc7e616b78fef3dcc23f?fmt=png-alpha&wid=676&hei=400']",FE 85 mm F1.4 GM,https://www.sony.co.in/electronics/camera-lenses/sel85f14gm/buy,"{'Maximum Magnification ratio (x)': '0.12 x', 'Filter Diameter (mm)': '77 mm', 'Weight': '820 g'}","['Premium G Master Series Mid-range telephoto prime ', 'Bright F1.4 maximum aperture ', 'Circular 11-blade aperture for beautiful defocus effects ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL18135,"Rs. 55,4901",4.5,37.0,[],E 18-135mm F3.5-5.6 OSS,,"{'Minimum focus distance': '0.45 m (1.48 ft)', 'Maximum Magnification ratio (x)': '0 29', 'Filter Diameter (mm)': '55', 'Weight': '325 g (11.5 oz)'}","['APS-C high-magnification standard zoom lens ', 'Advanced optical design incorporating an aspherical element for high corner-to-corner resolution ', 'Advanced linear motor technology for fast, precise and quiet focus control ']",E-mount,Lenses
SEL14TC,"Rs. 49,9901",4.5,16.0,"['https://www.sony.co.in/image/9dbfb92275befb1c8b47b6fbf02533c7?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/77d47220c79d7e9e1e93f75c54cd4eed?fmt=png-alpha&wid=676&hei=400']",1.4x Teleconverter Lens,https://www.sony.co.in/electronics/camera-lenses/sel14tc/buy,{'Weight': '167 g'},"['Extends focal length of lens by 1.4x ', 'Increase focal length without degrading resolution ', 'A handy tool for minimising gear ', 'Compatible with a range of lenses ', 'Compact alternative to bulky additional lenses ']",Mount Adaptors,Lenses
LA-EA5,"Rs. 19,4901",5.0,5.0,"['https://www.sony.co.in/image/357a301871376fb5939e0ce054b0bcd8?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/e0543d4db31816826c2c7120854e4afe?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/613c417b7f8d278f160c17ecd5f3b3d6?fmt=png-alpha&wid=676&hei=400']",LA-EA5 35-mm Full-Frame A-Mount Adapter,https://www.sony.co.in/electronics/converters-mount-adapters/la-ea5/buy,{},"['Dimensions dia. × length: Approx. 66.0 x 31.7 mm (2.6 x 1.25) ', 'Weight: Approx. 88 g (3.10 oz) ', 'Compatibility information: Go to Support Page']",Mount Adaptors,Lenses
SEL20TC,"Rs. 49,9901",5.0,15.0,"['https://www.sony.co.in/image/1f3edfcd36c40e9ee13dd9f83689e5a7?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/8ddb3298a0a048c168750f45feefdbcb?fmt=png-alpha&wid=676&hei=400']",2x Teleconverter Lens,https://www.sony.co.in/electronics/camera-lenses/sel20tc/buy,{'Weight': '207 g'},"['Extends focal length of lens by 2.0x ', 'Increase focal length without degrading resolution ', 'A handy tool for minimising gear ', 'Compatible with a range of lenses ', 'Compact alternative to bulky additional lenses ']",Mount Adaptors,Lenses
