name,price,rating,review_count,images,features,sub_category,category
INZONE H3 Wired Gaming Headset,"Rs. 9,9901",4.5,28.0,"['https://www.sony.co.in/image/39bf4d07b80f99034f09db5d7644e036?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/b3cf69690ec0d3f5ebfdad6463937ea7?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/8c65cb7f6fbbd7d976b29002d3cb36ab?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/183b7ead44077e1909390f91ba03db8c?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/e45a967e8f43e666f62078ec97e3038a?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']","['360 Spatial Sound for Gaming for precise rival detection ', 'Soft headband cushion and smooth nylon ear pads for wearing comfort ', 'Boom microphone for seamless team communication ', 'Easy operation with multiple control buttons ', 'Customise settings using INZONE Hub PC software ']",Gaming,Headphones
WH-1000XM4 Wireless Noise Cancelling Headphones,"Rs. 29,9901",4.5,1967.0,['https://www.sony.co.in/image/5d02da5df552836db894cead8a68f5f3?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],"['HD Noise-Cancelling Processor QN1, Bluetooth Audio SoC and a dual noise sensor let you listen without distractions ', 'Personal noise-cancelling optimiser and atmospheric pressure optimising ', 'High-quality audio with DSEE Extreme™ and LDAC ', 'Adaptive Sound Control automatically adjusts ambient sound settings to suit your location and behaviour ', 'Wireless freedom with BLUETOOTH® technology ']",Noise Cancelling,Headphones
WF-C500 Truly Wireless Headphones,"Rs. 8,9901",4.0,457.0,"['https://www.sony.co.in/image/6ff70f66ce935f02861635b3e936a70c?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/e3beeee2eeeb7580a61adcab32538851?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5cbc1b3260728da7eeafe044ed7f1248?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/da78c599880a10c0989109d765b99b96?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/ab676f3dda4abb8bbef9077ea001d5de?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9819425ccbaa8948ccaaba601f14b21f?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3bf117c2ca4768c53aaeadd7773015eb?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9b18b5f8ac4fdbfd48902513fb37b7da?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/88627367b3e324feea1692f31183268f?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/cbca09d677ee764befdd130dbdb9dc90?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/ebbcce2b4fb3407b01ea1b0af3418c24?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/14554686b10598c9c9aa9e281e945c88?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9d0cf63ef15f7209fcd13f9d71222859?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b9ba2a905843bfd0ba37a144f5359e13?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3ad66dcd748a03da7b62b2e82bb31f43?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']","['DSEE™ restores high-frequency sound and fine fade-out sound lost in compression ', 'Fine-tune your sound using the Sony | Headphones Connect app ', '10-hr-long battery life, total 20 hr with charging case5 ', 'Splash-proof and sweat-proof with an IPX4 rating ', 'Optional use of one earbud only ']",Water Resistant,Headphones
LinkBuds S,"Rs. 24,9901",4.0,228.0,['https://www.sony.co.in/image/c0d5f94fb6eaca7bf75bffe64874c195?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],"['Always on for connecting your online and offline worlds ', 'Automatically switches between optimised ambient sound and noise cancelling ', 'Ultra-small, lightweight and super fit ', 'Immersive music and clear calls ', '20 hours battery life with a 5-minute quick charge for up to 60 minutes of play time ']","['Noise Cancelling', 'Wireless', 'Water Resistant']",Headphones
LinkBuds series | LinkBuds Open Wireless Headphones,"Rs.26,990",4.4,28.0,[],[],"['Wireless', 'Water Resistant']",Headphones
ULT POWER SOUND series | ULT WEAR Wireless Noise Cancelling Headphones,"Rs.24,990",4.6,44.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-main-D?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/PIP_Desktop_XBBN2_01?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/PIP_Desktop_XBBN2_02?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/PIP_Desktop_XBBN2_03?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/PIP_Desktop_XBBN2_04?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/PIP_Desktop_XBBN2_05?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Black_standard_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Black_front_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Black_side_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Black_button_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Black_fordable_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Black_swivel_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-white_standard_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-white_front_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-white_side_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-white_button_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-forestgrey_standard_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-forestgrey_front_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-forestgrey_side_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-forestgrey_button_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Acc1_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Acc2_D?$productIntroPlatedesktop$&fmt=png-alpha']","['Exceptional bass for powerful sound', 'Digital Noise Cancelling and Ambient Sound Mode let you control what you hear', 'DSEE™ restores high-frequency sound lost in compression', 'Fine-tune your sound using the Sony | Headphones Connect app', 'All-day\xa0comfort, and up to 30 hours of battery life']","['Headband', 'Noise Cancelling', 'Wireless']",Headphones
WF-1000XM5 Wireless Noise Cancelling Headphones,"Rs.29,990",4.0,418.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/WFM5_Product-Intro-Plate-D-1?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/01_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/02_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/03_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/04_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/05_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-1-16?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/1_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/2_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/3_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/4_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/5_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/6_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/7_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/8_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/9_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/10_D?$productIntroPlatedesktop$&fmt=png-alpha']","['The best noise cancelling1 with two high-performance processors and dual feedback microphones', 'Stunning sound quality with specially designed driver unit', 'Superior noise-free calls with bone conduction sensor and noise reduction system (using AI)', 'Premium, ergonomic design for stable, comfortable fit', 'Water resistance and long battery life for everyday use']","['Noise Cancelling', 'Wireless', 'Water Resistant']",Headphones
WF-C510 Truly Wireless Headphones,"Rs.8,990",4.6,51.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-1-D-9?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-2-D-5?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-3-D-4?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-4-D-4?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-5-D-3?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-6-D-3?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-7-D-2?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-8-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-9-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-10-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-11-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-12-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-13-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-14-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-15-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-16-D-1?$productIntroPlatedesktop$&fmt=png-alpha']","['Compact and lightweight for comfort all day long', '11 hours of battery life, with another 11 hours in the charging case', 'Multipoint Connection lets you pair to two Bluetooth® devices simultaneously', 'Stay present with Ambient Sound Mode', 'Great sound quality and a range of customisable EQ presets']","['Wireless', 'Water Resistant']",Headphones
WF-C700N Wireless Noise Cancelling Headphones,"Rs.12,990",4.1,199.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_1_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_2_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_3_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_4_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_5_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_21_D?$productIntroPlatedesktop$&fmt=png-alpha']","['Digital noise cancelling and Ambient Sound Mode let you control what you hear', 'Compact and lightweight for a comfortable fit', 'DSEE™ restores high-frequency sound lost in compression', 'Fine-tune your sound using the \nSony | Headphones Connect app', 'Clear hands-free calls with wind noise reduction structure.']","['Noise Cancelling', 'Water Resistant']",Headphones
WH-1000XM5 Wireless Noise Cancelling Headphones,"Rs. 34,9902",4.5,823.0,['https://www.sony.co.in/image/6145c1d32e6ac8e63a46c912dc33c5bb?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],"['HD Noise Cancelling Processor QN1, Integrated Processor V1 and multiple microphones for distraction-free listening ', 'Fully automatic Personal Noise Cancelling Optimiser and Atmospheric Pressure Optimising ', '30-mm specially designed driver unit for exceptional sound ', 'Superior noise-free calls with 2 x 2 beamforming microphones and noise reduction system (using AI) ', 'Super comfortable lightweight design in ""Soft fit leather"" ']","['Noise Cancelling', 'Wireless']",Headphones
WH-CH720N Wireless Noise Cancelling Headphones,"Rs.14,990",4.5,507.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black01_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black02_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black03_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black04_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black05_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black06_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_black07_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_blue01_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_blue02_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_blue03_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_blue04_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_blue05_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_blue06_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_white01_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_white02_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_white03_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_white04_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_white05_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_white06_D?$productIntroPlatedesktop$&fmt=png-alpha']","['Noise Cancelling with Dual Noise Sensor technology and the Integrated Processor V1.', 'Super-comfortable lightweight design.', 'All-day listening with up to 35 hours of battery life.', 'DSEE™ restores high-frequency sound and fine fade-out sound lost in compression.', 'Easy and clear hands-free calling and voice assistant with wake word.']","['Headband', 'Noise Cancelling']",Headphones
